PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"KENEMA BRANCH",9646714.74
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"WELLINGTON BRANCH",1623101.38
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"WILBERFORCE STREET BRANCH",1897273.52
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"KOIDU BRANCH",0.00
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"MOYAMBA BRANCH",8226103.94
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"PUJEHUN BRANCH",4908091.44
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"CONGO CROSS BRANCH",1623101.38
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"MAKENI BRANCH",17385694.06
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"CHARLOTTE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"KABALA BRANCH",6531192.82
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"KAILAHUN BRANCH",10418562.72
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"JUBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"HEAD OFFICE",4637882.28
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"CLOCK TOWER BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"BO BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"KENEMA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"WELLINGTON BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"WILBERFORCE STREET BRANCH",277155.84
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"KOIDU BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"PUJEHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"CONGO CROSS BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"MAKENI BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"CHARLOTTE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"KABALA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Permanent Staff","Duty Allowance",143000000012,"JUBA BRANCH",332606.32
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"HEAD OFFICE",3970333368.84
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"SIAKA STEVENS STREET BRANCH",1364003934.30
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"CLOCK TOWER BRANCH",179554154.08
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"BO BRANCH",414757619.22
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"KENEMA BRANCH",191842820.56
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"WELLINGTON BRANCH",209030950.58
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"WILBERFORCE STREET BRANCH",158477170.02
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"KOIDU BRANCH",155825686.08
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"MOYAMBA BRANCH",94830026.44
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"PUJEHUN BRANCH",122222642.32
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"CONGO CROSS BRANCH",444688724.82
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"MAKENI BRANCH",203104148.46
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"CHARLOTTE STREET BRANCH",193250688.24
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"KABALA BRANCH",102572041.88
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"KAILAHUN BRANCH",89694753.84
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"WILKINSON ROAD BRANCH",117891974.30
"January 2022 Salary - Permanent Staff","Gross After NASSIT",,"JUBA BRANCH",241051639.00
"January 2022 Salary - Permanent Staff","Gross Salary",,"HEAD OFFICE",4130559073.48
"January 2022 Salary - Permanent Staff","Gross Salary",,"SIAKA STEVENS STREET BRANCH",1419520383.34
"January 2022 Salary - Permanent Staff","Gross Salary",,"CLOCK TOWER BRANCH",186995221.70
