PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"CLOCK TOWER BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"BO BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KENEMA BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"WELLINGTON BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"WILBERFORCE STREET BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KOIDU BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"PUJEHUN BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"CONGO CROSS BRANCH",200000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"MAKENI BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"CHARLOTTE STREET BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KABALA BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"WILKINSON ROAD BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"JUBA BRANCH",200000.00
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"HEAD OFFICE",103486698.10
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",31451516.30
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"CLOCK TOWER BRANCH",0.00
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"BO BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"KENEMA BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"WELLINGTON BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"WILBERFORCE STREET BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"KOIDU BRANCH",0.00
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"PUJEHUN BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"CONGO CROSS BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"MAKENI BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"CHARLOTTE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"KABALA BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"WILKINSON ROAD BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Stewards Allowance",143000000012,"JUBA BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"HEAD OFFICE",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",852319.36
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"CLOCK TOWER BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"BO BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"KENEMA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"WELLINGTON BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"WILBERFORCE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"KOIDU BRANCH",7734766.96
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"PUJEHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"CONGO CROSS BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"MAKENI BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"CHARLOTTE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"KABALA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"KAILAHUN BRANCH",508478.56
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Permanent Staff","Sundry/Special Allowance",143000000012,"JUBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Taxable Income",,"HEAD OFFICE",3744733368.84
"January 2022 Salary - Permanent Staff","Taxable Income",,"SIAKA STEVENS STREET BRANCH",1205603934.30
"January 2022 Salary - Permanent Staff","Taxable Income",,"CLOCK TOWER BRANCH",160354154.08
"January 2022 Salary - Permanent Staff","Taxable Income",,"BO BRANCH",384357619.22
"January 2022 Salary - Permanent Staff","Taxable Income",,"KENEMA BRANCH",169442820.56
"January 2022 Salary - Permanent Staff","Taxable Income",,"WELLINGTON BRANCH",180230950.58
"January 2022 Salary - Permanent Staff","Taxable Income",,"WILBERFORCE STREET BRANCH",140877170.02
"January 2022 Salary - Permanent Staff","Taxable Income",,"KOIDU BRANCH",139825686.08
"January 2022 Salary - Permanent Staff","Taxable Income",,"MOYAMBA BRANCH",85230026.44
"January 2022 Salary - Permanent Staff","Taxable Income",,"PUJEHUN BRANCH",112622642.32
"January 2022 Salary - Permanent Staff","Taxable Income",,"CONGO CROSS BRANCH",401488724.82
"January 2022 Salary - Permanent Staff","Taxable Income",,"MAKENI BRANCH",179104148.46
"January 2022 Salary - Permanent Staff","Taxable Income",,"CHARLOTTE STREET BRANCH",172450688.24
"January 2022 Salary - Permanent Staff","Taxable Income",,"KABALA BRANCH",94572041.88
"January 2022 Salary - Permanent Staff","Taxable Income",,"KAILAHUN BRANCH",78494753.84
"January 2022 Salary - Permanent Staff","Taxable Income",,"WILKINSON ROAD BRANCH",103491974.30
"January 2022 Salary - Permanent Staff","Taxable Income",,"JUBA BRANCH",217051639.00
"January 2022 Salary - Permanent Staff","Total Allowance",,"HEAD OFFICE",926044977.00
"January 2022 Salary - Permanent Staff","Total Allowance",,"SIAKA STEVENS STREET BRANCH",309191403.86
"January 2022 Salary - Permanent Staff","Total Allowance",,"CLOCK TOWER BRANCH",38173868.82
"January 2022 Salary - Permanent Staff","Total Allowance",,"BO BRANCH",72789674.68
"January 2022 Salary - Permanent Staff","Total Allowance",,"KENEMA BRANCH",50664628.58
"January 2022 Salary - Permanent Staff","Total Allowance",,"WELLINGTON BRANCH",50857969.70
"January 2022 Salary - Permanent Staff","Total Allowance",,"WILBERFORCE STREET BRANCH",35403183.10
"January 2022 Salary - Permanent Staff","Total Allowance",,"KOIDU BRANCH",42333126.26
"January 2022 Salary - Permanent Staff","Total Allowance",,"MOYAMBA BRANCH",29119324.12
"January 2022 Salary - Permanent Staff","Total Allowance",,"PUJEHUN BRANCH",28771153.04
"January 2022 Salary - Permanent Staff","Total Allowance",,"CONGO CROSS BRANCH",92866852.66
"January 2022 Salary - Permanent Staff","Total Allowance",,"MAKENI BRANCH",62163660.38
"January 2022 Salary - Permanent Staff","Total Allowance",,"CHARLOTTE STREET BRANCH",42935565.84
"January 2022 Salary - Permanent Staff","Total Allowance",,"KABALA BRANCH",28788972.24
"January 2022 Salary - Permanent Staff","Total Allowance",,"KAILAHUN BRANCH",30555413.96
"January 2022 Salary - Permanent Staff","Total Allowance",,"WILKINSON ROAD BRANCH",28165205.54
"January 2022 Salary - Permanent Staff","Total Allowance",,"JUBA BRANCH",52153677.96
"January 2022 Salary - Permanent Staff","Total Deductions",,"HEAD OFFICE",1096723659.92
"January 2022 Salary - Permanent Staff","Total Deductions",,"SIAKA STEVENS STREET BRANCH",341551180.22
"January 2022 Salary - Permanent Staff","Total Deductions",,"CLOCK TOWER BRANCH",45696246.20
"January 2022 Salary - Permanent Staff","Total Deductions",,"BO BRANCH",111427285.74
"January 2022 Salary - Permanent Staff","Total Deductions",,"KENEMA BRANCH",48002846.20
"January 2022 Salary - Permanent Staff","Total Deductions",,"WELLINGTON BRANCH",50399285.20
"January 2022 Salary - Permanent Staff","Total Deductions",,"WILBERFORCE STREET BRANCH",40066800.08
"January 2022 Salary - Permanent Staff","Total Deductions",,"KOIDU BRANCH",39957705.84
"January 2022 Salary - Permanent Staff","Total Deductions",,"MOYAMBA BRANCH",24309007.94
"January 2022 Salary - Permanent Staff","Total Deductions",,"PUJEHUN BRANCH",32636792.70
"January 2022 Salary - Permanent Staff","Total Deductions",,"CONGO CROSS BRANCH",114996617.40
"January 2022 Salary - Permanent Staff","Total Deductions",,"MAKENI BRANCH",50691244.56
"January 2022 Salary - Permanent Staff","Total Deductions",,"CHARLOTTE STREET BRANCH",49115206.50
"January 2022 Salary - Permanent Staff","Total Deductions",,"KABALA BRANCH",27431612.60
"January 2022 Salary - Permanent Staff","Total Deductions",,"KAILAHUN BRANCH",22078426.18
"January 2022 Salary - Permanent Staff","Total Deductions",,"WILKINSON ROAD BRANCH",29267592.28
"January 2022 Salary - Permanent Staff","Total Deductions",,"JUBA BRANCH",62192789.86
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"HEAD OFFICE",278764881.22
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",204666393.62
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"CLOCK TOWER BRANCH",23246503.24
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"BO BRANCH",38033874.34
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"KENEMA BRANCH",25442062.56
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"WELLINGTON BRANCH",31681539.14
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"WILBERFORCE STREET BRANCH",19630380.36
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"KOIDU BRANCH",22318304.52
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"MOYAMBA BRANCH",14658264.38
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"PUJEHUN BRANCH",13560484.72
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"CONGO CROSS BRANCH",57341375.12
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"MAKENI BRANCH",27572955.74
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"CHARLOTTE STREET BRANCH",26128200.26
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"KABALA BRANCH",9944361.84
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"KAILAHUN BRANCH",13754257.58
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"WILKINSON ROAD BRANCH",15885150.76
"January 2022 Salary - Permanent Staff","Transport Allowance",143000000012,"JUBA BRANCH",29227766.38
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"HEAD OFFICE",2200000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"SIAKA STEVENS STREET BRANCH",1860000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"CLOCK TOWER BRANCH",220000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"BO BRANCH",360000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"KENEMA BRANCH",260000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"WELLINGTON BRANCH",340000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"WILBERFORCE STREET BRANCH",200000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"KOIDU BRANCH",180000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"MOYAMBA BRANCH",120000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"PUJEHUN BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"CONGO CROSS BRANCH",500000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"MAKENI BRANCH",280000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"CHARLOTTE STREET BRANCH",240000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"KABALA BRANCH",80000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"KAILAHUN BRANCH",140000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"WILKINSON ROAD BRANCH",160000.00
"January 2022 Salary - Permanent Staff","Union Dues",124300000011,"JUBA BRANCH",260000.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"HEAD OFFICE",36998.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",36998.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"CLOCK TOWER BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"BO BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"KENEMA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"WELLINGTON BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"WILBERFORCE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"KOIDU BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"PUJEHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"CONGO CROSS BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"MAKENI BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"CHARLOTTE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"KABALA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Permanent Staff","Word Processing Allowance",143000000012,"JUBA BRANCH",0.00
